GEOID,district
17001000100,15
17001000201,15
17001000202,15
17001000400,15
17001000500,15
17001000600,15
17001000700,15
17001000800,15
17001000900,15
17001001001,15
17001001002,15
17001001100,15
17001010100,15
17001010200,15
17001010301,15
17001010302,15
17001010400,15
17001010500,15
17001010600,15
17003957600,12
17003957700,12
17003957800,12
17003957900,12
17005951200,15
17005951300,15
17005951400,15
17005951500,15
17007010101,11
17007010102,11
17007010200,11
17007010300,11
17007010400,11
17007010501,16
17007010502,11
17007010601,16
17007010603,16
17007010604,16
17009970400,15
17009970500,15
17011964700,16
17011964800,16
17011964900,16
17011965000,14
17011965100,14
17011965200,14
17011965300,16
17011965400,16
17011965500,16
17011965600,16
17013951200,15
17013951300,15
17015960100,17
17015960200,17
17015960300,17
17015960400,17
17015960500,17
17015960600,17
17017960100,15
17017960200,15
17017960300,15
17017960400,15
17017960500,15
17019000200,13
17019000301,13
17019000302,13
17019000401,13
17019000402,13
17019000500,13
17019000700,13
17019000800,13
17019000901,13
17019000902,13
17019001000,13
17019001100,13
17019001201,13
17019001203,13
17019001204,13
17019001205,13
17019001206,13
17019001301,13
17019001302,13
17019001400,13
17019005300,13
17019005401,13
17019005402,13
17019005500,13
17019005601,13
17019005602,13
17019005701,13
17019005702,15
17019005800,13
17019005901,13
17019005902,13
17019006000,13
17019010400,2
17019010300,2
17019010204,2
17019010100,2
17019010500,2
17019010601,15
17019010603,15
17019010604,15
17019010702,15
17019010701,15
17019010800,15
17019010901,15
17019010902,13
17019011001,13
17019011002,13
17019011100,13
17021958100,15
17021958200,15
17021958300,15
17021958400,15
17021958500,15
17021958600,15
17021958700,15
17021958800,15
17021958900,15
17021959000,15
17023060100,12
17023060200,12
17023060300,12
17023060400,12
17025971900,12
17025972000,12
17025972100,12
17025972200,12
17027900100,12
17027900200,12
17027900300,12
17027900401,12
17027900403,12
17027900404,12
17027900500,12
17027900601,12
17027900602,12
17029000100,15
17029000200,12
17029000300,15
17029000400,15
17029000500,15
17029000600,12
17029000701,12
17029000702,15
17029000800,15
17029000900,15
17029001000,12
17029001100,15
17029001200,15
17031010100,9
17031010201,9
17031010202,9
17031010300,9
17031010400,9
17031010501,9
17031010502,9
17031010503,9
17031010600,9
17031010701,9
17031010702,9
17031020100,9
