GEOID20,district
17019010400,2
17019010601,17
17019010500,2
17041952200,17
17041952300,17
17041952100,17
17041952400,17
17113000301,17
17061974000,12
17041952000,17
17113000302,3
17031730202,7
17031660301,4
17031813702,4
17031813302,4
17031063302,5
17031220701,11
17031660302,4
17031252201,1
17031804715,8
17031804108,11
17031840000,1
17031835600,1
17031802403,9
17031813301,4
17031803701,9
17031803016,9
17031843600,1
17031834600,1
17113001103,17
17113000504,17
17113000502,17
17113000501,17
17031836100,1
17031836400,1
17197881301,14
17197883213,14
17197881113,6
17197881111,6
17197882602,14
17197882702,14
17197883214,14
17197883210,14
17031030103,5
17031030102,5
17031030601,5
17031030706,5
17089851101,16
17197881115,6
17031061902,5
17089850105,16
17113001500,17
17113001402,17
17113001700,17
17113001600,17
17031063303,5
17031081202,5
17113001303,17
17113001200,17
17031252202,1
17031040401,5
17031770601,11
17031252102,1
17031210602,11
17031220901,11
17031220601,11
17031220602,11
17123961400,17
17123961500,3
17081050700,15
17201001000,3
17123961300,12
17183010200,2
17123961200,3
17123961100,3
17081050200,15
17081050300,15
17081050400,15
17081050500,15
17081050600,15
17081051100,15
17081050800,15
17081050100,15
17029000800,17
17029000500,17
17029000900,17
17029001000,17
17115001000,17
17115000900,17
17029000400,17
17029000300,17
17115000600,17
17115000400,17
17113005700,3
17113005502,3
17113005602,3
17113001302,17
17113000105,3
17113005202,3
17001010301,12
17113000200,17
17023060200,15
17001010302,12
17113000400,17
17113005601,3
17113005501,3
17113001301,17
17143002500,12
17143002400,12
17143002800,12
17143002600,12
17023060400,15
17023060300,15
17143002300,12
17023060100,15
17083010200,12
17097861702,10
17083010100,12
17083010500,12
17143003101,12
17143003000,12
17097861505,10
17097865801,10
17061973900,12
17061973800,12
17061973700,12
17061973600,12
17021958900,17
17083010300,12
17029000702,17
17029000701,17
17031804203,8
17031806006,9
17031803616,9
17031803614,11
17031330101,1
17031330102,1
17031806005,9
17031460800,2
17187870500,12
17031824508,6
17129010100,15
17129010200,15
17031828508,2
17031809402,5
17031824126,6
17031828507,2
17183000500,2
17183010300,2
17183000100,2
17183001300,2
17183010800,2
17117956500,15
17183000700,2
17183010701,2
17183010500,2
17183010400,2
17183010100,2
17183010600,2
17197880416,14
17183000900,2
17183011100,17
17183000800,2
17015960100,3
17015960300,3
17015960600,3
17015960500,3
17183001200,2
17183010900,17
17015960400,3
17015960200,3
17031824128,6
17031824129,6
17031804313,16
17031829903,2
17031824127,6
17031824509,6
17031824124,6
17031824125,6
17031612200,1
17031490200,7
17031844600,1
17031844700,1
17031820203,6
17031804312,16
17031630600,4
17031820204,6
17031804513,16
17031804315,16
17031809401,5
17031320102,1
17031803615,9
17031803613,11
17031804512,16
17031804314,16
17131040200,12
17131040300,12
17091012300,2
17131040400,12
17017960400,12
17017960300,12
17131040100,12
17017960200,12
17031812000,1
17031818000,1
17043846504,8
17031829402,2
17091012400,2
17091011300,2
17031815600,4
17043846405,8
17093890107,14
17093890401,14
17051950600,15
17051950900,15
17093890602,14
17093890501,14
17093890601,14
17093890404,14
17109011100,12
17051951100,15
17109010300,12
17109010100,12
17051950800,15
17051951000,15
17051950700,15
17051950500,15
17109010900,12
17109010700,12
17141961301,3
17109010200,12
17045070500,15
17109011000,12
17109010600,12
17045070200,17
17183011200,2
17037001003,14
17181950500,13
17181950200,13
17141961302,3
17141961001,3
17037001004,14
17141961002,3
17187870400,12
17187870200,12
17183000300,2
17187870300,12
17181950300,13
17181950400,13
17187870100,12
17181950100,13
17031804514,16
17031804316,16
17031380600,1
17031330103,1
17031320101,1
17183000600,2
17031804204,10
17031829904,6
17031060800,5
17031060300,5
17031160800,11
17199020201,13
17031251100,1
17031251000,11
17031060100,5
17031051400,5
17137951800,12
17025972000,15
17121952500,15
17121952400,15
17025972200,15
17117956900,15
17025971900,15
17025972100,15
17053961800,2
17109010401,12
17053961700,2
17053961600,2
17137952100,12
17137951900,12
17109980000,12
17109010402,12
17071973300,12
17053962000,2
17071973500,12
17071973400,12
17043841327,8
17053961900,2
17043841604,8
17043841315,8
17141961100,3
17141961500,3
17141961600,3
17141960800,3
17177001100,3
17185957400,15
17141961700,3
17185957300,15
17111870905,16
17129010300,15
17019000700,17
17031819200,4
17141960900,3
17141961200,3
17141961400,3
17141960700,3
17113005900,17
17113001105,3
17019001203,17
17113006000,17
17019000901,17
17019000800,17
17113005102,3
17019000902,17
17027900500,15
17027900200,13
17017960100,12
17027900300,15
17019001000,17
17019001204,17
17027900100,13
17019001201,17
17095000200,12
17095001000,12
17167001600,15
17095001300,12
17121951900,15
17121951600,15
17121952000,15
17121952100,15
17031243000,1
17031242900,1
17031243200,1
17031243100,1
17031221000,11
17167002700,15
17031242800,1
17031221100,11
17031150600,11
17031110400,9
17031150800,11
17031150700,11
17031243400,1
17031243300,1
17101880700,15
17031071400,5
17031151200,11
17031151100,11
17031241100,11
17031241500,5
17101880800,15
17101880900,15
17101881100,15
17101881000,15
17031250200,11
17031243500,1
17031250400,1
17031250300,1
17031241300,1
17031241600,1
17161022600,12
17031241400,5
17001000500,12
17001010200,12
17001010400,12
17001010100,12
17031071500,5
17031250500,1
17001010500,12
17031071800,5
17031160100,9
17031080400,1
17031160300,9
17031160200,9
17001010600,12
17001000202,12
17031080300,5
17031080100,5
17031250600,1
17031221400,11
17031250800,1
17031250700,1
17031160700,11
17031160400,11
17031221500,11
17031221300,11
17047956900,15
17047957100,15
17167003500,15
17167003901,15
17167003201,15
17167004000,17
17167000400,15
17167000300,15
17167003203,15
17167003100,15
17167001400,15
17167000201,15
17167002500,15
17167003802,15
17167000100,15
17167003601,15
17167002400,15
17047957000,15
17167003300,15
17167003202,15
17167003400,15
17167003602,15
17167003000,15
17077010700,13
17077011200,13
17057953400,12
17077011600,13
17077010800,13
17167003603,15
17077010100,13
17077010400,13
17057952900,12
17057953500,12
17057953700,12
17057953000,12
17057953800,12
17057952800,12
17057953100,12
17057953200,12
17139977200,17
17139976900,17
17139977000,17
17139977100,17
17057953300,12
17057953900,12
17155954600,3
17155954500,14
17043842706,6
17055040900,13
17143005000,12
17043844401,6
17055040400,13
17055040200,13
17055040300,13
17055040800,13
17121952700,15
17121952600,15
17121951800,15
17121952300,15
17167001300,15
17167001200,15
17121951700,15
17121952200,15
17097863902,9
17103000300,3
17097863904,10
17097863903,10
17031803603,9
17031804705,8
17103000700,3
17031820101,6
17031061500,5
17031061100,5
17031062100,5
17031062000,5
17097864002,9
17097864001,10
17031300900,4
17031611200,7
17031829100,2
17031090100,9
