GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
17001000100,4644,722.0584755,1476.778782,4231,118,93
17001000201,2067,275.779888,530.5238557,1827,79,38
17001000202,2870,386.5848962,558.9846824,2393,184,98
17001000400,3793,462.7160384,615.797322,2953,536,67
17001000500,1719,230.6417625,294.6871369,1366,202,31
17001000600,3590,629.9441025,1007.807625,3193,123,103
17001000700,1243,146.0171022,153.6681937,908,158,69
17001000800,2455,266.8816201,297.5721592,1885,294,67
17001000900,2572,303.8706156,457.6969647,2139,139,53
17001001001,3245,463.3019507,818.420988,2885,104,77
17001001002,3109,492.1820759,998.8241833,2839,69,56
17001001100,8015,1217.973475,2875.853148,7075,264,165
17001010100,4403,400.9787538,1606.275732,4136,12,56
17001010200,3634,317.666667,1318.666667,3412,15,50
17001010301,2800,189.60354,812.2184827,2686,12,34
17001010302,3062,276.9665785,1122.207456,2901,8,31
17001010400,3605,404.1523483,1382.574082,3366,34,62
17001010500,3069,451.3244572,439.2900683,2796,73,43
17001010600,5842,689.1173461,2165.958077,5398,77,94
17003957600,1820,311.9328305,534.9360632,1533,177,28
17003957700,1491,230.6554278,457.3359147,1198,177,33
17003957800,1030,296.7312912,153.1039212,345,626,10
17003957900,899,353.790892,62.1094672,198,637,11
17005951200,2924,523.8416553,992.9594204,2659,88,47
17005951300,6883,846.4783355,1278.500517,5033,960,458
17005951400,2918,512.9807395,908.5700746,2761,9,40
17005951500,4000,618.865937,1185.136656,3811,20,59
17007010101,4396,706.0054664,733.9178826,2605,142,1432
17007010102,3756,524.6830386,506.6612268,1995,150,1469
17007010200,5640,903.7295077,868.975082,3262,152,1974
17007010300,6674,1035.689531,925.6007992,3615,154,2589
17007010400,6912,1213.178566,1616.606741,4523,170,1895
17007010501,4501,832.8870473,1645.739185,3828,64,377
17007010502,5795,999.4935112,1637.999086,4840,100,570
17007010601,3847,427.0253442,833.9879078,2951,33,736
17007010603,6380,1045.604567,1562.866098,5173,92,714
17007010604,5547,862.9515815,1131.128652,3897,188,1124
17009970400,2349,243.0660065,765.5683679,2255,3,17
17009970500,3895,274.0096239,660.4869544,2509,1051,265
17011964700,2866,507.1979146,836.1841926,2631,10,121
17011964800,3231,461.25647,945.3115175,3054,7,67
17011964900,2635,417.8826901,788.7400194,2391,17,129
17011965000,3668,700.10893,702.8127947,2355,33,1108
17011965100,4224,1014.737448,768.6498329,3384,56,607
17011965200,3474,857.1170222,551.1640013,2627,50,617
17011965300,3370,537.3193408,856.8420283,2991,40,174
17011965400,3555,722.572488,1122.207886,3265,37,127
17011965500,3506,542.0329183,1184.330837,3284,7,72
17011965600,2715,439.6081135,813.2568919,2529,18,73
17013951200,2306,430.7859138,703.0304557,2165,3,36
17013951300,2131,437.2140864,695.4695448,2052,4,28
17015960100,3773,538.0349358,1278.328419,3542,20,111
17015960200,1976,264.5326315,431.0566906,1857,5,62
17015960300,3000,542.3221775,631.7817274,2568,59,257
17015960400,1944,335.6705102,536.4064291,1828,9,51
17015960500,2461,338.5670721,789.990691,2298,11,54
17015960600,2548,78.43883406,206.7505393,1650,590,222
17017960100,2251,300.9691525,726.8418142,2145,15,12
17017960200,2501,341.0758127,790.4793957,2303,17,88
17017960300,3054,404.6949077,754.0636341,2273,63,625
17017960400,2545,296.2251726,351.1938693,1308,235,895
17017960500,2691,300.8682883,277.4212875,1032,395,1169
17019000200,2266,566.1666669,31.83333335,221,1276,284
17019000301,6593,1496.61695,336.8355489,2368,371,636
17019000302,3830,702.3924732,102.7365592,923,179,314
17019000401,5125,925.2357959,361.1301764,2975,248,451
17019000402,4001,1095.826919,276.4310988,2089,231,479
17019000500,3608,1478.518939,426.7064601,2560,345,204
17019000700,3290,578.4018384,156.6016861,862,1047,1060
17019000800,6052,1150.855458,594.7052556,2502,1656,609
17019000901,4731,982.268446,270.4723186,1205,2464,604
17019000902,6833,1731.973695,1028.32691,3639,1678,405
17019001000,4366,1401.702267,547.1978406,2709,1117,201
17019001100,3519,1379.882477,640.436946,2760,309,177
17019001201,6611,1569.006152,689.6330464,2969,2162,513
17019001203,4414,1436.318016,939.7154477,3079,601,244
17019001204,3453,1081.061075,771.4049292,2293,272,133
17019001205,7271,1803.781325,1327.332656,4262,987,408
17019001206,1886,576.3501382,655.9586153,1553,85,48
17019001301,5796,1916.384594,1107.450653,4200,586,293
17019001302,4892,1617.973135,1073.29824,3573,249,157
17019001400,7616,1958.269243,802.9432257,3918,604,743
17019005300,3800,875.2292956,94.31221927,833,1521,240
17019005401,4531,869.0378515,498.4926678,2012,1146,953
17019005402,3170,578.0811004,547.0868551,2091,244,537
